Protocollo,Specificità,Sensitività,Accuracy
Simple-Majority,0.8989,0.8713,0.8842
Accuracy-Oriented,0.963,0.9679,0.9654
Confidence-Oriented,0.9099,0.9062,0.908
Specificity-Oriented,0.9474,0.6623,0.7836
Sensitivity-Oriented,0.6364,0.9493,0.7842
Cautious,0.8988,0.8704,0.8846
Presumptuous,0.9222,0.9333,0.9278
AND_Rule,0.9778,0.8222,0.9
OR_Rule,0.8556,0.9778,0.9167
