Protocollo,Specificità,Sensitività,Accuracy
Simple-Majority,0.8623,0.7717,0.8197
Accuracy-Oriented,0.9259,0.9167,0.9213
Confidence-Oriented,0.9125,0.9051,0.9088
Specificity-Oriented,0.8957,0.6232,0.7689
Sensitivity-Oriented,0.5801,0.9329,0.7525
Cautious,0.7727,0.841,0.8106
Presumptuous,0.9097,0.9167,0.9132
AND_Rule,0.9722,0.8125,0.8924
OR_Rule,0.7986,0.9583,0.8785
